Time,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,Altitude,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_ZLinear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z
1.8490,0.0785,-0.0392,9.5321,0.6250,0.0300,0.1600,9.4700,0.0100,0.0400,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.9026,0.0785,-0.0392,9.4144,0.5000,0.0100,0.1800,9.4500,0.0100,0.0400,-0.3100,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.9554,0.0785,0.0785,9.4536,0.6250,0.0300,0.1300,9.4700,0.0400,0.0100,-0.2800,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.0102,0.1177,-0.0785,9.4536,-0.6250,0.0200,0.1500,9.4900,0.0100,0.0300,-0.3100,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.0640,0.0785,-0.0392,9.4928,0.6250,0.0200,0.1600,9.4800,0.0100,0.0100,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.1167,0.0785,-0.0785,9.4144,-0.9375,0.0400,0.1400,9.4400,0.0100,0.0300,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.1718,0.0785,-0.0392,9.4536,1.3750,0.0500,0.1400,9.4900,0.0300,0.0100,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.2268,0.1177,-0.0392,9.5321,0.8750,0.0300,0.1300,9.5000,0.0200,0.0100,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.2830,0.0392,-0.0392,9.4928,0.2500,0.0100,0.1600,9.5000,0.0200,0.0500,-0.3600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.3379,0.0785,-0.0392,9.4928,-0.4375,0.0400,0.1400,9.4200,0.0200,0.0100,-0.3700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.3938,0.0785,-0.0392,9.4536,-0.7500,0.0400,0.1100,9.4300,0.0200,0.0400,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.4475,0.0785,-0.0392,9.4144,0.8125,0.0600,0.1600,9.5000,0.0400,0.0100,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.5015,0.0785,-0.0392,9.4928,-0.3125,0.0600,0.1300,9.4600,0.0400,0.0100,-0.3500,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.5535,0.0785,-0.0392,9.4536,-1.0625,0.0200,0.1400,9.4400,0.0400,0.0300,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.6046,0.0785,-0.0392,9.4536,0.3125,0.0300,0.1500,9.4200,0.1000,-0.0500,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.6575,0.0785,-0.0785,9.4536,1.6875,0.0700,0.0800,9.4600,0.0400,-0.0300,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.7115,0.1177,-0.0785,9.4536,0.0625,0.0700,0.1300,9.4400,-0.0100,0.0100,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.7658,0.0785,-0.0785,9.4144,-0.5625,0.0200,0.1600,9.4300,-0.0100,0.0600,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.8202,0.0785,-0.0785,9.4928,0.1250,0.0400,0.1500,9.4600,-0.0100,0.0300,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.8745,0.1177,-0.0785,9.5713,-0.3125,0.0200,0.1300,9.4700,0.0100,0.0300,-0.3700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.9309,0.0392,-0.0785,9.4928,0.8750,0.0400,0.2000,9.4600,0.0100,0.0800,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.9843,0.0785,-0.0785,9.4144,1.6250,0.0400,0.1100,9.4700,0.0100,0.0300,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.0401,0.0785,-0.0785,9.4928,0.1875,0.0500,0.1100,9.4700,0.0500,0.0300,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.0949,0.0785,-0.0392,9.5713,1.0625,0.0200,0.1300,9.4500,0.0100,0.0400,-0.3500,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.1492,0.0392,-0.0785,9.4928,0.2500,0.0600,0.1600,9.4800,0.0100,0.0400,-0.2900,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.2026,0.1177,-0.0785,9.4536,1.5625,0.0100,0.1300,9.4800,0.0100,0.0100,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.2545,0.0392,-0.0392,9.4144,0.0625,0.0300,0.1400,9.4700,0.0100,0.0100,-0.2600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.3069,0.1177,-0.0392,9.5321,-0.9375,0.0300,0.1700,9.4800,0.0100,0.0200,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
