#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0716,GROUND,0.3750,-0.0392,9.5713,-0.3138,-0.1400,9.2100,0.1300,0.0400,-0.5800,-0.0400,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.1229,-0.1919,0.3743,-1.1250,24.7648,25.0000,0.0000,0.0000
2,5.1128,GROUND,1.2500,-0.0392,9.7282,-0.3138,-0.1500,9.2600,0.1100,0.0300,-0.5400,-0.0600,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0702,-0.0682,0.9580,-1.1250,24.7648,25.0000,0.0000,0.0000
3,5.1532,GROUND,0.3750,-0.0392,9.7282,-0.3923,-0.1800,9.2200,0.1600,0.0000,-0.5700,-0.0100,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0540,-0.1285,0.5911,-1.1250,24.7648,25.0000,0.0000,0.0000
4,5.1931,GROUND,-0.3125,0.0000,9.6890,-0.3530,-0.1500,9.1800,0.1500,0.0400,-0.6100,-0.0100,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0717,-0.2254,0.0274,-1.1250,24.7648,25.0000,0.0000,0.0000
5,5.2327,GROUND,0.8125,-0.0392,9.6890,-0.3530,-0.1500,9.2400,0.1500,0.0400,-0.5600,-0.0100,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0777,-0.1367,0.5116,-1.1250,24.7648,25.0000,0.0000,0.0000
6,5.2700,GROUND,0.7500,0.0000,9.7282,-0.3138,-0.1700,9.2700,0.1100,0.0200,-0.5200,-0.0500,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0560,-0.1058,0.6576,-1.1250,24.7648,25.0000,0.0000,0.0000
7,5.3087,GROUND,0.6250,-0.0785,9.6890,-0.3530,-0.1700,9.2700,0.1100,0.0300,-0.5600,-0.0300,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0720,-0.1127,0.6359,-1.1250,24.7648,25.0000,0.0000,0.0000
8,5.3459,GROUND,0.6875,-0.0392,9.7282,-0.3923,-0.1400,9.2500,0.1400,0.0400,-0.5500,-0.0200,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0538,-0.1049,0.6663,-1.1250,24.7648,25.0000,0.0000,0.0000
9,5.3856,GROUND,-0.3125,-0.0392,9.6890,-0.3923,-0.1500,9.2400,0.1400,0.0400,-0.5600,-0.0300,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0713,-0.3038,0.0553,-1.1250,24.7648,25.0000,0.0000,0.0000
10,5.4241,GROUND,-0.5625,-0.0392,9.7282,-0.3923,-0.1400,9.2400,0.1400,0.0400,-0.5500,-0.0200,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0537,-0.4434,-0.3343,-1.1250,24.7648,25.0000,0.0000,0.0000
11,5.4638,GROUND,0.2500,-0.0392,9.7282,-0.3923,-0.1500,9.2100,0.1200,0.0300,-0.5800,-0.0400,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0468,-0.2968,0.0236,-1.1250,24.7648,25.0000,0.0000,0.0000
12,5.5031,GROUND,0.0625,-0.0392,9.6890,-0.3530,-0.1600,9.2400,0.1100,0.0300,-0.5500,-0.0500,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0684,-0.2857,0.0435,-1.1250,24.7648,25.0000,0.0000,0.0000
13,5.5426,GROUND,1.5625,-0.0392,9.7282,-0.3530,-0.1500,9.2300,0.1300,0.0400,-0.5600,-0.0400,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0522,0.1483,0.9882,-1.1250,24.7648,25.0000,0.0000,0.0000
14,5.5819,GROUND,-0.5000,-0.0392,9.6890,-0.3923,-0.1600,9.2300,0.1300,0.0300,-0.5600,-0.0300,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0708,-0.2861,0.0608,-1.1250,24.7648,25.0000,0.0000,0.0000
15,5.6174,GROUND,-0.5625,-0.0392,9.7282,-0.2746,-0.1700,9.2300,0.1200,0.0200,-0.5700,-0.0500,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0535,-0.4756,-0.3327,-1.1250,24.7648,25.0000,0.0000,0.0000
16,5.6546,GROUND,-0.7500,-0.0392,9.6497,-0.3530,-0.1600,9.2100,0.1300,0.0200,-0.5900,-0.0300,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0953,-0.6071,-0.6002,-1.1250,24.7648,25.0000,0.0000,0.0000
17,5.6917,GROUND,-0.4375,0.0000,9.6890,-0.3923,-0.1600,9.2300,0.1400,0.0200,-0.5300,-0.0200,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0870,-0.5492,-0.5067,-1.1250,24.7648,25.0000,0.0000,0.0000
18,5.7277,GROUND,-0.1875,-0.0785,9.7674,-0.3923,-0.1500,9.2300,0.1500,0.0300,-0.5700,-0.0200,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0353,-0.4321,-0.3146,-1.1250,24.7648,25.0000,0.0000,0.0000
19,5.7649,GROUND,-1.1250,-0.0785,9.6890,-0.3530,-0.1400,9.2400,0.1400,0.0400,-0.5500,-0.0200,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0642,-0.7257,-0.8281,-1.1250,24.7648,25.0000,0.0000,0.0000
20,5.8023,GROUND,0.3125,-0.0392,9.7282,-0.3138,-0.1500,9.2400,0.1500,0.0400,-0.5500,-0.0200,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0507,-0.3064,-0.1237,-1.1250,24.7648,25.0000,0.0000,0.0000
21,5.8361,GROUND,0.3750,-0.0785,9.7282,-0.2746,-0.1600,9.1900,0.1300,0.0200,-0.6000,-0.0300,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0456,-0.1180,0.1844,-1.1250,24.7648,25.0000,0.0000,0.0000
22,5.8710,GROUND,-0.2500,-0.0392,9.6890,-0.2746,-0.1300,9.2300,0.1500,0.0300,-0.5400,-0.0500,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0681,-0.2893,-0.0893,-1.1250,24.7648,25.0000,0.0000,0.0000
23,5.9069,GROUND,-0.6875,-0.0392,9.6890,-0.2746,-0.1600,9.2400,0.1300,0.0300,-0.5500,-0.0400,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0767,-0.5369,-0.4686,-1.1250,24.7648,25.0000,0.0000,0.0000
24,5.9441,GROUND,1.3125,-0.0392,9.6497,-0.3530,-0.1600,9.2500,0.1500,0.0200,-0.5400,-0.0200,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.1039,0.2192,0.6414,-1.1250,24.7648,25.0000,0.0000,0.0000
25,5.9798,GROUND,-0.3125,-0.0785,9.6497,-0.3923,-0.1700,9.2500,0.1300,0.0300,-0.5400,-0.0100,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.1147,-0.2051,0.0456,-1.1250,24.7648,25.0000,0.0000,0.0000
26,6.0164,GROUND,0.7500,-0.0392,9.6890,-0.3138,-0.1600,9.2500,0.1100,0.0300,-0.5500,-0.0600,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0943,0.1146,0.4853,-1.1250,24.7648,25.0000,0.0000,0.0000
27,6.0537,GROUND,0.5625,-0.0392,9.7282,-0.2746,-0.1400,9.2300,0.1500,0.0500,-0.5700,-0.0100,0.4375,-1.1250,-88.9375,-0.1900,9.8000,0.1700,-0.0624,0.1454,0.5353,-1.1250,24.7648,25.0000,0.0000,0.0000
