Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.0590,GROUND,1.4375,-0.2746,9.5713,-0.0392,-0.3000,9.2000,0.4200,-0.1800,-0.5800,0.2300,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-6.3605,-7.4571,0.7279,-88.6250
5.0957,GROUND,0.9375,0.0000,9.6890,-0.1177,-0.3000,9.2000,0.4200,0.1900,-0.5700,-0.0500,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-8.5237,-8.0063,0.7624,-88.6250
5.1315,GROUND,0.6250,0.0392,9.6890,-0.5492,-0.1600,9.2300,-0.0500,-0.1000,-0.5400,-0.2300,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-9.6530,-8.3920,0.5632,-88.6250
5.1679,GROUND,1.3125,0.0392,9.6890,-0.1177,0.0200,9.2400,0.3300,0.1500,-0.5500,0.0900,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-9.8201,-8.6524,0.9084,-88.6250
5.2049,GROUND,-1.7500,-0.0392,9.6497,-0.1177,-0.4000,9.2400,0.2500,-0.2700,-0.5600,0.0100,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-9.8852,-9.2756,-0.8643,-88.6250
5.2415,GROUND,1.2500,0.0000,9.6890,-0.1569,-0.0500,9.2600,0.2100,0.1900,-0.5300,-0.1800,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-9.9331,-9.3156,0.3197,-88.6250
5.2773,GROUND,-1.0000,0.1177,9.7282,-0.4707,-0.0300,9.2500,0.1100,0.0900,-0.5400,-0.1100,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-10.1460,-9.7807,-0.6155,-88.6250
5.3095,GROUND,1.8125,-0.0392,9.7282,-0.2354,-0.2400,9.2400,0.3300,-0.1200,-0.5500,0.0900,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-10.0813,-9.6856,0.7586,-88.6250
5.3453,GROUND,-0.3125,-0.1177,9.6890,-0.1961,-0.1500,9.2300,0.1300,-0.0200,-0.5600,-0.1000,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-10.0329,-10.1782,-0.0408,-88.6250
5.3811,GROUND,1.3125,0.0785,9.6497,-0.3530,-0.0500,9.2300,0.2300,0.0700,-0.5700,0.0000,0.0000,-0.6875,-88.6250,-0.1200,9.8000,0.2300,-10.1110,-10.1812,0.6657,-88.6250
