Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.0727,GROUND,0.5000,-2.7851,6.9823,4.8249,-2.7700,7.1900,5.1700,0.6300,-0.2100,-0.2700,20.3125,-20.3125,-53.6250,0.0000,0.0000,0.0000,-3.1838,-3.5536,0.1506,-53.6250
5.1087,GROUND,0.3750,-2.4713,7.8453,4.6680,-2.7500,7.7600,5.3700,0.4800,0.2800,-0.0300,21.1250,-19.5000,-53.6250,-3.2800,7.4400,5.4700,-4.3700,-3.8267,0.2515,-53.6250
5.1427,GROUND,-0.0625,-2.5890,8.1199,4.9426,-2.8500,8.2100,5.6000,0.3300,0.7300,0.1200,21.1250,-19.5000,-53.6250,-3.2800,7.4400,5.4700,-4.6748,-4.0123,0.0059,-53.6250
5.1759,GROUND,0.3750,-2.8243,8.1984,4.9426,-2.8500,8.2100,5.6000,-0.0200,0.6800,0.0500,21.1250,-19.5000,-53.6250,-3.2800,7.4400,5.4700,-4.7915,-4.1252,0.1843,-53.6250
5.2083,GROUND,-0.5625,-2.5497,8.6299,4.1188,-2.7400,8.6300,4.6700,-0.0200,0.6800,0.0500,21.1250,-19.5000,-53.6250,-3.0500,7.5400,5.4700,-5.3456,-4.3492,-0.3284,-53.6250
5.2393,GROUND,0.4375,-2.4713,8.7083,3.7265,-2.7400,8.6300,4.6700,0.3400,0.9500,-1.0700,22.1250,-17.6250,-54.1875,-2.9700,7.5700,5.4600,-5.7994,-4.4297,0.0910,-54.1875
5.2722,GROUND,0.3750,-2.2359,8.4337,3.5304,-2.7400,8.6300,4.6700,0.6600,0.6800,-1.1200,22.1250,-17.6250,-54.1875,-2.8500,7.6300,5.4500,-6.0941,-4.5634,0.2127,-54.1875
5.3042,GROUND,-1.3125,-2.0006,8.3553,3.6873,-2.7400,8.6300,4.6700,0.5400,0.6800,-0.8500,21.7500,-16.0625,-54.8125,-2.7100,7.7000,5.4200,-6.1099,-4.9699,-0.7916,-54.8125
5.3366,GROUND,-0.6875,-2.0790,8.5514,3.9227,-2.1900,8.6000,4.9600,0.3700,0.8300,-0.4300,21.7500,-16.0625,-54.8125,-2.7100,7.7000,5.4200,-5.9702,-5.1262,-0.7922,-54.8125
5.3707,GROUND,0.6250,-1.9613,8.7083,4.5895,-2.0000,8.6100,5.3200,0.4900,0.7100,-0.0200,19.6875,-13.9375,-55.7500,-2.3600,7.8700,5.3500,-5.5046,-5.0035,0.0193,-55.7500
5.4062,GROUND,1.6875,-1.8044,8.4729,4.7856,-1.9500,8.4800,5.4100,0.2300,0.5300,0.1000,18.2500,-12.8750,-56.2500,-2.1900,7.9500,5.3000,-5.2055,-4.7836,0.9928,-56.2500
5.4399,GROUND,-0.4375,-1.8437,8.5122,4.9818,-2.0900,8.4200,5.7500,-0.2500,0.2100,0.8500,15.6875,-11.0625,-57.2500,-1.8800,8.0900,5.2000,-4.9704,-5.2737,0.0348,-57.2500
5.4762,GROUND,-0.9375,-2.1575,8.0022,5.9624,-2.2900,7.8300,6.6400,-0.2500,0.2100,0.8500,15.6875,-11.0625,-57.2500,-1.5600,8.2300,5.0900,-4.2745,-5.6310,-0.6401,-57.2500
5.5102,GROUND,-0.2500,-1.8044,7.6492,5.9624,-2.2900,7.8300,6.6400,-0.3000,-0.8100,1.3500,12.0625,-6.6250,-59.5000,-0.9700,8.4500,4.8700,-4.0085,-5.6134,-0.4661,-59.5000
5.5424,GROUND,-0.6875,-0.7845,7.4138,5.0602,-0.9400,7.5500,4.6800,-0.4700,-1.0600,0.0400,9.0625,-2.6875,-61.6875,-0.4600,8.6200,4.6300,-4.4646,-5.7706,-0.6798,-61.6875
5.5777,GROUND,-1.1875,-0.5099,7.4138,2.9812,-0.9400,7.5500,4.6800,-0.7900,-1.3100,-1.1900,9.0625,-2.6875,-61.6875,0.1100,8.8200,4.2600,-5.9237,-6.0475,-1.0724,-61.6875
5.6122,GROUND,-0.7500,-0.0392,7.5315,1.5691,-0.9400,7.5500,4.6800,-0.7900,-1.3100,-1.1900,9.0625,-2.6875,-61.6875,0.1100,8.8200,4.2600,-7.3537,-6.1027,-0.9394,-61.6875
5.6415,GROUND,-0.6875,-0.0785,7.6884,0.7845,-0.6100,7.7400,1.5800,-1.3200,-1.4100,-2.3500,356.8750,3.5625,-67.1875,0.1100,8.8200,4.2600,-8.3848,-6.2239,-0.8618,-67.1875
5.6754,GROUND,-0.1875,-0.3530,7.4531,0.4707,-1.1100,6.6900,2.1500,-1.7900,-2.3800,-1.4900,352.8750,3.9375,-68.0625,0.6800,9.0700,3.6500,-8.9725,-6.2170,-0.5267,-68.0625
5.7115,GROUND,-1.4375,-0.1569,5.8840,1.4906,-0.3400,5.6400,2.6400,-1.0100,-3.4400,-0.9600,348.2500,3.7500,-68.2500,0.6400,9.0900,3.6200,-8.5669,-6.7561,-1.1750,-68.2500
5.7446,GROUND,-0.1250,0.5492,5.3740,1.4514,-0.1100,5.4400,1.8900,-0.6500,-3.6000,-1.8200,348.2500,3.7500,-68.2500,0.5300,9.0500,3.7200,-8.4359,-6.5672,-0.6048,-68.2500
5.7781,GROUND,-0.9375,-0.3138,5.8055,1.6083,-0.8500,-321.5800,2.4500,-1.2000,-2.9000,-1.3900,341.5625,2.0000,-66.8125,0.5300,9.0500,3.7200,-8.2891,-6.8987,-0.9014,-66.8125
5.8134,GROUND,-1.1875,-0.7061,6.8254,2.5497,-1.0400,7.2400,3.5500,-1.2000,-2.9000,-1.3900,337.7500,0.5000,-66.0625,0.5300,9.0500,3.7200,-7.6512,-7.1721,-1.1632,-66.0625
5.8449,GROUND,-1.2500,-0.5884,7.9630,3.6873,0.1900,8.3400,4.6500,-1.2000,-2.9000,-1.3900,337.7500,0.5000,-66.0625,0.0200,8.9400,4.0100,-6.7044,-7.3409,-1.3045,-66.0625
5.8769,GROUND,-2.3125,0.5884,8.5514,4.2365,0.1900,8.3400,4.6500,-1.2000,-2.9000,-1.3900,337.7500,0.5000,-66.0625,0.1500,8.9500,4.0000,-6.0035,-7.8303,-2.0183,-66.0625
5.9067,GROUND,-0.5625,0.4707,8.5514,4.2365,1.4700,8.3900,4.9300,-1.2000,-2.9000,-1.3900,337.7500,0.5000,-66.0625,0.4300,8.9800,3.9000,-5.7355,-7.3386,-1.1991,-66.0625
5.9375,GROUND,-0.5000,2.6674,8.1984,4.9033,1.4700,8.3900,4.9300,-1.2000,-2.9000,-1.3900,334.6250,4.5000,-67.3125,0.4300,8.9800,3.9000,-5.2211,-7.1344,-0.8446,-67.3125
5.9672,GROUND,-2.5625,4.7464,9.0221,5.6879,1.4700,8.3900,4.9300,-1.2000,-2.9000,-1.3900,332.5000,6.5000,-67.9375,1.1100,9.0200,3.6500,-4.5400,-7.9029,-2.0030,-67.9375
5.9983,GROUND,-1.2500,3.7265,10.2774,4.6680,1.4700,8.3900,4.9300,0.2500,1.5500,1.1500,332.5000,6.5000,-67.9375,1.4300,9.0000,3.6000,-4.9099,-7.6102,-1.6289,-67.9375
6.0312,GROUND,-1.5625,1.8829,11.0619,3.4519,0.8800,11.2700,3.5300,-0.7000,2.2800,-0.0600,323.7500,9.3750,-68.0625,1.6000,8.9700,3.6100,-5.8028,-7.6381,-1.6918,-68.0625
6.0676,GROUND,-1.0625,1.5691,11.6111,2.3144,1.0400,11.3900,3.3400,-0.5400,2.4000,-0.2400,323.7500,9.3750,-68.0625,1.5900,8.9800,3.5800,-6.8468,-7.4284,-1.3904,-68.0625
6.1001,GROUND,1.9375,1.8437,11.5326,2.9812,1.5100,11.4900,3.8800,-0.0500,2.4700,0.3500,319.4375,9.1875,-68.6875,1.5700,9.0200,3.5100,-6.8331,-5.8052,0.5990,-68.6875
6.1376,GROUND,-1.1875,2.0006,11.7680,2.3536,1.4600,11.4300,2.6900,-0.1100,2.3900,-0.7500,318.8125,9.1875,-69.0625,1.5700,9.0200,3.5100,-7.2165,-6.8498,-0.5988,-69.0625
6.1715,GROUND,-0.3125,2.2751,11.3365,2.1182,2.1500,11.2900,2.7700,0.5900,2.2200,-0.5900,318.3750,9.1250,-69.5625,1.5600,9.0700,3.3700,-7.5081,-6.8356,-0.5064,-69.5625
6.2051,GROUND,-1.8750,2.5497,12.0033,2.1182,2.0900,11.8400,2.7400,-0.0100,2.9400,-0.5600,317.5625,9.1875,-70.3125,1.5700,9.1100,3.2500,-7.6197,-7.6847,-1.4575,-70.3125
6.2400,GROUND,0.0000,1.9613,12.2779,2.2359,2.0900,11.8400,2.7400,0.0700,2.8700,-0.1700,317.1250,9.3125,-70.7500,1.5900,9.1300,3.1800,-7.5892,-7.0432,-0.6405,-70.7500
6.2744,GROUND,0.3125,2.5890,12.0818,1.8829,2.0900,11.8400,2.7400,0.0700,2.8700,-0.1700,316.8750,9.3750,-71.0625,1.6000,9.1500,3.1300,-7.7958,-6.6952,-0.1262,-71.0625
6.3062,GROUND,-0.1250,2.5497,12.0033,1.3729,1.7900,12.0200,2.0600,-0.0200,2.9000,-0.7200,316.6250,9.3750,-71.8125,1.6000,9.1500,3.1300,-8.1900,-6.8472,-0.2122,-71.8125
6.3404,GROUND,0.3750,1.9221,11.8464,2.1575,1.7900,12.0200,2.0600,-0.1100,2.2800,-0.2300,316.6250,9.3125,-72.5000,1.6000,9.1500,3.1300,-7.8557,-6.6851,0.0720,-72.5000
6.3730,GROUND,-0.3750,2.0398,11.0619,2.0006,1.6800,10.7100,2.2800,-0.1100,2.2800,-0.2300,316.4375,9.1250,-73.4375,1.6000,9.1500,3.1300,-7.8251,-7.0488,-0.2878,-73.4375
6.4043,GROUND,-1.6875,1.5298,10.2774,1.8437,0.9700,10.0000,2.1900,-0.5600,0.6600,-0.3700,315.5000,9.0625,-75.1250,1.5400,9.3500,2.4800,-7.9105,-7.9680,-1.2662,-75.1250
6.4407,GROUND,-0.8125,1.6083,9.2183,1.2553,1.2600,9.0300,1.3000,-0.5600,0.6600,-0.3700,315.5000,9.0625,-75.1250,1.5700,9.4200,2.1900,-8.3065,-7.8480,-1.0782,-75.1250
