Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.0752,GROUND,2.5625,-0.4707,9.6890,-0.1177,-0.6200,9.2200,0.4000,0.0000,-0.5400,-0.1400,2.8125,-3.6250,-86.6875,-0.6200,9.7700,0.5500,-6.2931,-6.6620,1.8787,-86.6875
5.1124,GROUND,-0.1875,-0.5492,9.6890,-0.0785,-0.6500,9.2000,0.3800,-0.0100,-0.5500,-0.1500,2.8125,-3.6250,-86.6875,-0.6200,9.7700,0.5500,-8.4833,-7.5154,0.4010,-86.6875
5.1481,GROUND,0.0625,-0.5492,9.7282,-0.0392,-0.6200,9.2300,0.4300,0.0000,-0.5300,-0.1300,2.8125,-3.6250,-86.6875,-0.6200,9.7700,0.5600,-9.3234,-7.8970,0.0830,-86.6875
5.1844,GROUND,0.1875,-0.5492,9.6890,-0.1177,-0.6200,9.2300,0.4300,0.0400,-0.5200,-0.1200,2.8125,-3.6250,-86.6250,-0.6200,9.7600,0.5700,-9.6945,-8.1838,0.0481,-86.6250
5.2169,GROUND,0.6250,-0.5492,9.6890,-0.0392,-0.6800,9.1700,0.4100,-0.0500,-0.5800,-0.1600,2.8125,-3.6250,-86.5625,-0.6300,9.7600,0.5800,-9.7878,-8.4377,0.2932,-86.5625
5.2525,GROUND,0.0625,-0.5884,9.6890,-0.0392,-0.6400,9.2300,0.4700,0.0000,-0.5300,-0.1000,2.8125,-3.6875,-86.5000,-0.6300,9.7600,0.5800,-9.8237,-8.7565,0.0418,-86.5000
5.2856,GROUND,-1.1875,-0.6276,9.6890,-0.0785,-0.6300,9.1600,0.4400,0.0000,-0.5300,-0.1000,2.8125,-3.6250,-86.5000,-0.6300,9.7600,0.5900,-9.8618,-9.1994,-0.8295,-86.5000
5.3178,GROUND,1.5000,-0.5492,9.6497,-0.0392,-0.5600,9.1900,0.4400,0.0500,-0.5600,-0.1500,2.8125,-3.6250,-86.4375,-0.6200,9.7600,0.6000,-9.8516,-9.1178,0.4892,-86.4375
5.3541,GROUND,0.0000,-0.5099,9.6890,-0.0392,-0.6400,9.2000,0.4400,-0.0100,-0.5600,-0.1600,2.8125,-3.6250,-86.4375,-0.6200,9.7600,0.6000,-9.8481,-9.4985,0.0596,-86.4375
5.3898,GROUND,0.2500,-0.4707,9.6890,0.0392,-0.6000,9.2100,0.4900,0.0200,-0.5500,-0.1100,2.8125,-3.6250,-86.3750,-0.6200,9.7600,0.6100,-9.7982,-9.7310,0.0523,-86.3750
