Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.0715,GROUND,0.3750,0.0785,9.5713,-0.1177,0.0000,9.1900,0.4300,0.0100,-0.5900,-0.0200,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-6.3912,-7.5791,-0.3178,-87.3125
5.1090,GROUND,-0.4375,0.0785,9.6497,-0.0392,0.0000,9.2600,0.4300,0.0100,-0.5300,-0.0200,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-8.4894,-8.1641,-0.5062,-87.3125
5.1455,GROUND,0.5000,0.0392,9.6890,-0.0392,0.0100,9.2000,0.4300,0.0100,-0.5300,-0.0600,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.3240,-8.4132,0.0112,-87.3125
5.1816,GROUND,1.2500,0.0392,9.6890,-0.0785,-0.0300,9.2400,0.3700,-0.0100,-0.5400,-0.0700,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.6699,-8.6070,0.6679,-87.3125
5.2162,GROUND,-0.6250,0.0392,9.6890,0.0000,-0.0200,9.2000,0.4200,-0.0100,-0.5300,-0.0100,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.7547,-9.0614,-0.2534,-87.3125
5.2518,GROUND,0.0000,0.0785,9.6105,0.0000,-0.0200,9.2500,0.4300,0.0000,-0.5300,-0.0200,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.7867,-9.3386,-0.2223,-87.3125
5.2878,GROUND,1.1250,0.0392,9.6497,-0.0392,-0.0600,9.2500,0.3800,-0.0200,-0.5500,-0.0500,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.8230,-9.4383,0.4878,-87.3125
5.3229,GROUND,-0.9375,0.0392,9.7282,-0.0392,-0.0100,9.2500,0.4000,0.0000,-0.5400,-0.0500,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.8373,-9.9766,-0.5303,-87.3125
5.3594,GROUND,-0.8750,0.0392,9.6890,0.0000,-0.0400,9.2500,0.4400,-0.0200,-0.5400,-0.0100,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.8184,-10.3249,-0.8821,-87.3125
5.3952,GROUND,0.1250,0.0392,9.7674,-0.0785,-0.0200,9.2200,0.4100,0.0000,-0.5500,-0.0300,0.0625,-0.0625,-87.3125,-0.0200,9.7900,0.4500,-9.8594,-10.3900,-0.3962,-87.3125
