#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0747,GROUND,1.5625,9.9636,-0.6669,-1.9613,9.5300,-0.6300,-1.4700,-0.1000,-0.1300,0.1200,358.7500,80.1875,162.1875,9.6600,-0.5100,-1.5900,-6.6360,-7.2758,0.8517,80.1875,24.7648,25.0000,0.0000,0.0000
2,5.1147,GROUND,-0.6250,10.0028,-0.6669,-1.8829,9.6000,-0.6700,-1.4400,-0.0500,-0.1500,0.1400,358.7500,80.1875,161.9375,9.6600,-0.5100,-1.5700,-8.9509,-8.1103,-0.2502,80.1875,24.7648,25.0000,0.0000,0.0000
3,5.1540,GROUND,1.1250,9.9636,-0.7061,-1.9221,9.5100,-0.6300,-1.4600,-0.1500,-0.1100,0.1100,358.6875,80.2500,161.6875,9.6600,-0.5100,-1.5700,-9.8894,-8.3726,0.4875,80.2500,24.7648,25.0000,0.0000,0.0000
4,5.1939,GROUND,-0.1250,10.0028,-0.6276,-1.8437,9.6100,-0.6100,-1.3600,-0.0500,-0.0900,0.1900,358.6875,80.2500,161.6250,9.6600,-0.5200,-1.5600,-10.2041,-8.7893,-0.0157,80.2500,24.7648,25.0000,0.0000,0.0000
5,5.2314,GROUND,0.3125,10.0028,-0.6276,-1.8829,9.5900,-0.5800,-1.4400,-0.0700,-0.0600,0.1100,358.6875,80.2500,161.6250,9.6600,-0.5200,-1.5600,-10.3240,-9.0954,0.0620,80.2500,24.7648,25.0000,0.0000,0.0000
6,5.2683,GROUND,-1.0625,9.9636,-0.5884,-1.9221,9.5500,-0.5800,-1.5100,-0.1200,-0.0200,0.0500,358.6875,80.2500,161.5000,9.6600,-0.5200,-1.5600,-10.3459,-9.5965,-0.7717,80.2500,24.7648,25.0000,0.0000,0.0000
7,5.3068,GROUND,0.1250,10.0028,-0.6276,-2.0006,9.5500,-0.6100,-1.4800,-0.1400,-0.1000,0.0700,358.6875,80.2500,161.5000,9.6600,-0.5200,-1.5600,-10.3782,-9.7937,-0.3562,80.2500,24.7648,25.0000,0.0000,0.0000
8,5.3451,GROUND,-0.1250,9.9636,-0.6276,-1.9221,9.5600,-0.5800,-1.4900,-0.1000,-0.0600,0.0600,358.6875,80.2500,161.4375,9.6600,-0.5200,-1.5600,-10.3906,-10.0782,-0.3549,80.2500,24.7648,25.0000,0.0000,0.0000
9,5.3828,GROUND,-0.0625,10.0028,-0.5492,-1.9613,9.5400,-0.5800,-1.4800,-0.1200,-0.0500,0.0900,358.6875,80.2500,161.4375,9.6600,-0.5200,-1.5700,-10.3468,-10.3476,-0.3273,80.2500,24.7648,25.0000,0.0000,0.0000
10,5.4227,GROUND,-0.8125,9.9636,-0.7061,-2.0006,9.5400,-0.6600,-1.5000,-0.1200,-0.1300,0.0600,358.6250,80.2500,161.3750,9.6600,-0.5200,-1.5600,-10.4272,-10.7717,-0.7857,80.2500,24.7648,25.0000,0.0000,0.0000
11,5.4618,GROUND,1.1250,9.9636,-0.6276,-1.9221,9.5600,-0.5900,-1.4500,-0.1000,-0.0600,0.1100,358.6250,80.2500,161.3125,9.6600,-0.5300,-1.5600,-10.4090,-10.6052,0.2445,80.2500,24.7648,25.0000,0.0000,0.0000
12,5.5012,GROUND,1.5625,10.0028,-0.6276,-1.9221,9.5800,-0.6600,-1.4500,-0.0800,-0.1200,0.1100,358.6250,80.2500,-15.4375,9.6600,-0.5300,-1.5600,-10.4022,-10.5512,0.9100,80.2500,24.7648,25.0000,0.0000,0.0000
13,5.5398,GROUND,0.7500,10.0028,-0.6276,-1.9613,9.5500,-0.6000,-1.4500,-0.1000,-0.0700,0.1100,358.6250,80.2500,161.1250,9.6600,-0.5300,-1.5600,-10.3998,-10.8774,0.6567,80.2500,24.7648,25.0000,0.0000,0.0000
14,5.5779,GROUND,0.5000,9.9636,-0.6276,-1.8829,9.5400,-0.5800,-1.4400,-0.1100,-0.0500,0.1300,358.6250,80.2500,161.0625,9.6600,-0.5300,-1.5600,-10.3989,-11.2004,0.3966,80.2500,24.7648,25.0000,0.0000,0.0000
15,5.6168,GROUND,1.0625,10.0028,-0.6669,-1.9613,9.5600,-0.6500,-1.4900,-0.0900,-0.1100,0.0600,358.5625,80.2500,161.0625,9.6600,-0.5300,-1.5600,-10.4227,-11.2532,0.6451,80.2500,24.7648,25.0000,0.0000,0.0000
16,5.6562,GROUND,0.7500,9.9636,-0.6276,-1.9221,9.5200,-0.5500,-1.4700,-0.1400,-0.0100,0.1000,358.5625,80.1875,161.0625,9.6600,-0.5300,-1.5600,-10.4076,-11.4721,0.5455,80.1875,24.7648,25.0000,0.0000,0.0000
17,5.6947,GROUND,1.3750,9.9636,-0.5884,-1.9221,9.5200,-0.5500,-1.4700,-0.1000,-0.0500,0.1000,358.5625,80.1875,161.0625,9.6600,-0.5300,-1.5700,-10.3775,-11.4285,0.9131,80.1875,24.7648,25.0000,0.0000,0.0000
