#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0614,GROUND,-0.0625,0.0000,9.6105,-0.3530,-0.1500,9.2700,0.1600,0.0400,-0.5300,0.0000,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-5.4716,-2.5742,-0.3012,-89.0625,24.7648,25.0000,0.0000,0.0000
2,5.1034,GROUND,2.1250,-0.0785,9.7282,-0.3530,-0.1400,9.2000,0.1000,0.0400,-0.5100,-0.0700,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-8.1891,-2.9419,1.2655,-89.0625,24.7648,25.0000,0.0000,0.0000
3,5.1435,GROUND,-0.3125,-0.0785,9.6890,-0.3138,-0.1900,9.2200,0.1800,0.0000,-0.5700,0.0200,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.2609,-3.4950,0.2279,-89.0625,24.7648,25.0000,0.0000,0.0000
4,5.1825,GROUND,0.5625,0.0000,9.6890,-0.2746,-0.1500,9.2700,0.1800,0.0400,-0.5300,0.0200,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.6473,-3.8210,0.3819,-89.0625,24.7648,25.0000,0.0000,0.0000
5,5.2207,GROUND,-0.1250,-0.0392,9.7282,-0.3923,-0.1600,9.2300,0.0500,0.0200,-0.5600,-0.1000,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.8673,-4.2562,0.0061,-89.0625,24.7648,25.0000,0.0000,0.0000
6,5.2608,GROUND,0.0000,-0.0392,9.6890,-0.3923,-0.1700,9.2200,0.1400,0.0200,-0.5700,0.0000,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.9516,-4.6289,-0.0652,-89.0625,24.7648,25.0000,0.0000,0.0000
7,5.3008,GROUND,1.4375,-0.0785,9.7282,-0.3138,-0.1500,9.2400,0.1600,0.0300,-0.5600,0.0000,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.9341,-4.7493,0.7961,-89.0625,24.7648,25.0000,0.0000,0.0000
8,5.3408,GROUND,-1.2500,-0.0392,9.6890,-0.3138,-0.1500,9.2100,0.1200,0.0300,-0.5900,-0.0300,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.9290,-5.4927,-0.5525,-89.0625,24.7648,25.0000,0.0000,0.0000
9,5.3810,GROUND,-0.5625,0.0000,9.6497,-0.3138,-0.1700,9.2300,0.1700,0.0200,-0.5700,0.0100,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.9275,-5.8327,-0.6413,-89.0625,24.7648,25.0000,0.0000,0.0000
10,5.4197,GROUND,1.0000,-0.0392,9.6890,-0.4707,-0.1600,9.2600,0.1500,0.0200,-0.5700,0.0100,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-10.0228,-5.8004,0.2956,-89.0625,24.7648,25.0000,0.0000,0.0000
11,5.4571,GROUND,-0.5625,-0.0392,9.6497,-0.2746,-0.1700,9.2100,0.1600,0.0500,-0.5500,-0.0100,359.9375,-1.1250,-89.0625,-0.1900,9.8000,0.1500,-9.9388,-6.3442,-0.3283,-89.0625,24.7648,25.0000,0.0000,0.0000
12,5.4965,GROUND,-1.0000,-0.0392,9.6890,-0.2746,-0.1900,9.2700,0.1900,0.0000,-0.5400,0.0000,359.9375,-9.1250,-89.0625,-0.1900,9.8000,0.1500,-9.9020,-6.8455,-0.8446,-89.0625,24.7648,25.0000,0.0000,0.0000
