Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.0580,GROUND,-0.5000,0.0000,9.6497,-0.3530,-0.1200,9.2600,0.1400,0.0100,-0.5700,-0.0200,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-6.5885,-8.1904,-1.2091,-89.0000
5.0951,GROUND,1.6875,0.0000,9.7282,-0.3923,-0.1100,9.2300,0.1600,0.0100,-0.5600,0.0000,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-8.7683,-8.3960,0.6117,-89.0000
5.1315,GROUND,0.1875,-0.0392,9.6890,-0.3923,-0.1100,9.2200,0.1600,0.0100,-0.5800,0.0000,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-9.6504,-8.7706,0.2379,-89.0000
5.1646,GROUND,0.4375,0.0000,9.6497,-0.3530,-0.1000,9.2200,0.1400,0.0200,-0.5700,-0.0200,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-9.9648,-9.0810,0.2402,-89.0000
5.2004,GROUND,-0.1250,0.0000,9.6890,-0.3923,-0.1100,9.2300,0.1500,0.0100,-0.5700,-0.0100,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-10.1095,-9.4398,-0.1099,-89.0000
5.2356,GROUND,0.5000,0.0000,9.6890,-0.3923,-0.1100,9.2400,0.1400,0.0100,-0.5600,-0.0200,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-10.1646,-9.6733,0.1427,-89.0000
5.2701,GROUND,2.4375,0.0000,9.6890,-0.3923,-0.1100,9.2300,0.1500,0.0100,-0.5700,-0.0100,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-10.1854,-9.6498,1.4369,-89.0000
5.3052,GROUND,-1.5625,0.0000,9.6890,-0.3530,-0.1000,9.2200,0.1100,0.0200,-0.5700,-0.0500,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-10.1699,-10.4554,-0.5607,-89.0000
5.3410,GROUND,-0.5625,-0.0392,9.6890,-0.3530,-0.1100,9.2700,0.1400,0.0100,-0.5300,-0.0200,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-10.1635,-10.7439,-0.7031,-89.0000
5.3761,GROUND,-1.8750,0.0000,9.6890,-0.3530,-0.1000,9.2500,0.1500,0.0200,-0.5500,-0.0100,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-10.1613,-11.2697,-1.5806,-89.0000
5.4121,GROUND,-0.5625,0.0000,9.7282,-0.3923,-0.1000,9.1900,0.1300,0.0200,-0.6000,-0.0300,359.9375,-0.7500,-89.0000,-0.1200,9.8000,0.1600,-10.1843,-11.3104,-1.0998,-89.0000
