#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0756,GROUND,2.3125,-0.1177,9.6497,-0.3138,-0.1400,9.2200,0.1400,0.0100,-0.5800,-0.0200,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0278,0.5838,2.2887,-0.8750,24.7648,25.0000,0.0000,0.0000
2,5.1167,GROUND,0.3750,0.0000,9.6890,-0.3530,-0.1400,9.2600,0.1500,0.0100,-0.5400,-0.0100,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0693,0.3145,1.0159,-0.8750,24.7648,25.0000,0.0000,0.0000
3,5.1566,GROUND,-0.4375,-0.0392,9.6890,-0.3923,-0.1300,9.2700,0.1400,0.0200,-0.5200,-0.0200,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0790,0.1629,0.1084,-0.8750,24.7648,25.0000,0.0000,0.0000
4,5.1961,GROUND,0.2500,-0.0392,9.7674,-0.3530,-0.1500,9.2100,0.1500,0.0000,-0.5900,-0.0100,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0322,0.1760,0.1988,-0.8750,24.7648,25.0000,0.0000,0.0000
5,5.2355,GROUND,1.0000,-0.0392,9.7282,-0.3530,-0.1500,9.2200,0.1400,0.0000,-0.5700,-0.0200,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0384,0.2648,0.6985,-0.8750,24.7648,25.0000,0.0000,0.0000
6,5.2719,GROUND,1.1875,-0.0392,9.7674,-0.3530,-0.1200,9.1900,0.1700,0.0000,-0.5400,0.0100,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0167,0.3292,1.0061,-0.8750,24.7648,25.0000,0.0000,0.0000
7,5.3108,GROUND,0.6250,-0.0392,9.6890,-0.3530,-0.1400,9.2400,0.1200,0.0000,-0.5700,-0.0500,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0570,0.2653,0.7740,-0.8750,24.7648,25.0000,0.0000,0.0000
8,5.3494,GROUND,0.3750,-0.0785,9.7674,-0.3923,-0.1200,9.2300,0.1500,0.0200,-0.5700,-0.0100,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0240,0.1891,0.5297,-0.8750,24.7648,25.0000,0.0000,0.0000
9,5.3893,GROUND,0.6875,-0.0392,9.6890,-0.3138,-0.1300,9.2500,0.1600,0.0100,-0.5400,0.0000,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0597,0.2180,0.6308,-0.8750,24.7648,25.0000,0.0000,0.0000
10,5.4290,GROUND,0.6875,-0.0392,9.7282,-0.3138,-0.1100,9.2600,0.1200,0.0300,-0.5300,-0.0400,359.9375,-0.8750,-88.9375,-0.1500,9.8000,0.1700,-0.0492,0.2269,0.6695,-0.8750,24.7648,25.0000,0.0000,0.0000
