Time,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,Altitude,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
0.7244977951049805,10.0812362,0.3530394,-1.8828768,-0.18750286106660563,-9.73,-0.55,-1.34,-0.04,-0.02,0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.07368820357028454,-0.5729740988517593,-0.5063622997234511,8.5625
0.7599458694458008,10.1596894,0.3138128,-1.9221034,0.6250095368886854,-9.75,-0.53,-1.35,-0.05,-0.02,0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.052587221903208914,-0.12190934659199104,0.19481685385788639,8.5625
0.7959740161895752,10.1204628,0.3138128,-1.9221034,0.7500114442664225,-9.74,-0.56,-1.33,-0.05,-0.01,0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.06131702579451542,0.10507634800105597,0.5412101905266012,8.5625
0.8308253288269043,10.1204628,0.3530394,-1.8436502,0.7500114442664225,-9.73,-0.54,-1.34,-0.03,-0.01,0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05635203530906012,0.18787411954443428,0.6734474691126944,8.5625
0.8662600517272949,10.1204628,0.3138128,-1.8828768,-0.8125123979552911,-9.73,-0.54,-1.34,-0.03,-0.01,0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05509579046178276,-0.4506868179407719,-0.2559994333965949,8.5625
0.8996291160583496,10.1204628,0.3138128,-1.8828768,-0.9375143053330282,-9.73,-0.56,-1.35,-0.03,-0.02,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05472081902959576,-0.7339262617137695,-0.6887597608148571,8.5625
0.9357926845550537,10.0812362,0.392266,-1.9221034,0.7500114442664225,-9.74,-0.55,-1.35,-0.04,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.07254708434572393,-0.07867661580952945,0.2043754239708595,8.5625
0.9725782871246338,10.1204628,0.3138128,-1.9221034,-0.5625085831998169,-9.74,-0.56,-1.34,-0.05,-0.01,0.03,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.06672583547488017,-0.43952163609263073,-0.2785741922845705,8.5625
1.007166862487793,10.0812362,0.3530394,-1.8828768,-0.5625085831998169,-9.72,-0.54,-1.35,-0.02,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.0685194351150982,-0.5665774529489744,-0.46253793813436794,8.5625
1.0430545806884766,10.1596894,0.3138128,-1.8828768,-0.4375066758220798,-9.72,-0.56,-1.32,-0.03,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.043930850044670684,-0.5469978769067587,-0.4543792522769699,8.5625
1.0777156352996826,10.1204628,0.3530394,-1.8828768,0.06250095368886854,-9.74,-0.56,-1.34,-0.05,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05900000519068378,-0.29236197419620746,-0.1367416984834725,8.5625
1.1136562824249268,10.1204628,0.3138128,-1.9221034,-0.687510490577554,-9.77,-0.56,-1.34,-0.02,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05210370367389551,-0.5612367606199837,-0.4869214374232853,8.5625
1.1485445499420166,10.1204628,0.3138128,-1.8828768,-0.18750286106660563,-9.75,-0.55,-1.35,-0.06,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.06485929018276472,-0.4052767980310217,-0.3059961742264893,8.5625
1.1849772930145264,10.1204628,0.3138128,-1.9221034,-0.1250019073777371,-9.72,-0.55,-1.34,-0.02,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.053640969282243656,-0.30704772656421087,-0.19759983872537026,8.5625
1.220106840133667,10.1204628,0.3138128,-1.8436502,0.37500572213321126,-9.74,-0.55,-1.36,-0.05,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.06159923705009787,-0.010375791864123407,0.15857834919615166,8.5625
1.2546687126159668,10.1204628,0.3530394,-1.9221034,-1.1875181200885023,-9.73,-0.53,-1.35,-0.04,-0.01,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.06015341306130373,-0.6992651065554655,-0.6880477375455747,8.5625
1.290123701095581,10.1204628,0.3530394,-1.8436502,0.5625085831998169,-9.73,-0.54,-1.37,-0.03,-0.01,-0.02,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05599406169058674,-0.036240340209323874,0.0895826310525808,8.5625
1.3267254829406738,10.1204628,0.3530394,-1.9221034,0.5000076295109483,-9.74,-0.55,-1.34,-0.04,-0.01,-0.02,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05857616424032683,0.18364818849100792,0.3475820173145076,8.5625
1.3628385066986084,10.1204628,0.3138128,-1.8436502,-0.5625085831998169,-9.73,-0.56,-1.35,-0.02,-0.01,-0.02,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05200772322734147,-0.3167302869711942,-0.2232923438155186,8.5625
1.3982977867126465,10.1204628,0.3530394,-1.8436502,-0.2500038147554742,-9.74,-0.5700000000000001,-1.36,-0.04,-0.03,-0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.05752742720155687,-0.3270179396354265,-0.24428551632729015,8.5625
1.4346566200256348,10.1204628,0.3138128,-1.9221034,-0.6250095368886854,-9.75,-0.55,-1.37,-0.05,-0.03,-0.02,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.06268268095882974,-0.5328611647839219,-0.48861040471870887,8.5625
1.470499038696289,10.1204628,0.3138128,-1.8828768,0.5000076295109483,-9.74,-0.51,-1.33,-0.04,0.02,-0.02,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.060342074155285336,0.022694460188090848,0.127258356341014,8.5625
1.5046565532684326,10.0812362,0.3530394,-1.8828768,-0.9375143053330282,-9.73,-0.55,-1.34,-0.05,-0.01,-0.02,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.07782249334597881,-0.5556234094144146,-0.5427157304494401,8.5625
1.5404906272888184,10.1204628,0.3138128,-1.9221034,1.5625238422217136,-9.74,-0.56,-1.32,-0.05,-0.02,0.01,0,-81.4375,157.9375,-9.69,-0.54,-1.34,-0.06801136546717643,0.6198928196809965,0.7761521065968271,8.5625
