#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
21,5.8612,GROUND,-1.3750,-4.9426,-0.6276,7.8453,-5.0800,-0.8300,8.4100,-0.2000,-0.0100,-0.0500,359.9375,-29.8125,5.5625,-4.8700,-0.8200,8.4600,-10.5134,-13.5476,-0.3886,-29.8125,24.7648,25.0000,0.0000,0.0000
22,5.9009,GROUND,-1.0625,-4.8249,-0.7453,8.1199,-4.8100,-0.9000,8.5400,0.0500,-0.0700,0.0700,359.9375,-29.7500,5.5625,-4.8700,-0.8200,8.4600,-10.5151,-14.0174,-1.0127,-29.7500,24.7648,25.0000,0.0000,0.0000
23,5.9401,GROUND,-0.1875,-4.7464,-0.5099,7.8845,-4.8900,-0.8400,8.4000,-0.0200,-0.0100,-0.0600,359.9375,-29.7500,5.5625,-4.8700,-0.8200,8.4600,-10.3701,-13.8366,-0.6879,-29.7500,24.7648,25.0000,0.0000,0.0000
24,5.9765,GROUND,0.0000,-4.9818,-0.7453,7.8453,-5.1900,-0.7800,8.4500,-0.1700,0.0100,-0.0500,359.9375,-29.8125,5.5625,-4.8700,-0.8200,8.4600,-10.4601,-13.7005,-0.4592,-29.8125,24.7648,25.0000,0.0000,0.0000
25,6.0155,GROUND,-0.6875,-4.4718,-0.7061,7.9630,-5.0400,-0.8000,8.4300,-0.0700,0.0000,0.0500,359.9375,-29.7500,5.5625,-4.8700,-0.8200,8.4600,-10.4705,-13.9654,-0.8021,-29.7500,24.7648,25.0000,0.0000,0.0000
26,6.0541,GROUND,-0.4375,-4.5895,-1.3337,9.3752,-4.6200,-0.9900,8.3000,0.2400,-0.1600,-0.1600,359.9375,-29.7500,5.5625,-4.8600,-0.8200,8.4700,-10.8622,-13.9557,-0.7802,-29.7500,24.7648,25.0000,0.0000,0.0000
27,6.0938,GROUND,0.3750,-4.3934,-0.6669,8.1199,-4.9500,-0.6500,8.4800,-0.0800,0.1700,0.0100,359.9375,-29.7500,5.5625,-4.8700,-0.8300,8.4700,-10.5995,-13.5692,-0.2528,-29.7500,24.7648,25.0000,0.0000,0.0000
28,6.1317,GROUND,-0.7500,-4.9033,-0.7845,7.9630,-5.0500,326.8100,8.4500,-0.1800,-0.0400,0.0000,359.9375,-29.7500,5.5625,-4.8700,-0.8200,8.4600,-10.5722,-13.9658,-0.7694,-29.7500,24.7648,25.0000,0.0000,0.0000
29,6.1715,GROUND,-0.5625,-4.8249,-0.8630,8.0415,-4.9700,-0.8200,8.4800,-0.0900,0.0000,0.0100,359.9375,-29.7500,5.5625,-4.8700,-0.8200,8.4600,-10.6102,-14.0024,-0.8458,-29.7500,24.7648,25.0000,0.0000,0.0000
30,6.2113,GROUND,-1.0625,-4.7464,-0.7453,8.0415,-4.9700,-0.8200,8.4800,-0.0300,-0.0800,0.0700,359.9375,-29.7500,5.5625,-4.8700,-0.8300,8.4600,-10.5520,-14.2410,-1.1681,-29.7500,24.7648,25.0000,0.0000,0.0000
