Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.9159,GROUND,0.0000,0.0785,9.6497,-0.3138,-0.0400,9.2400,0.1500,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0975,-0.2346,-0.3203,-0.2500
5.9521,GROUND,-0.0625,0.0392,9.7282,-0.3138,-0.0100,9.2300,0.1700,0.0200,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0636,-0.1187,-0.1616,-0.2500
5.9882,GROUND,0.2500,0.0000,9.6890,-0.3138,-0.0300,9.2300,0.1700,0.0100,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0748,0.0648,0.0951,-0.2500
6.0229,GROUND,-0.3750,0.0392,9.7282,-0.3923,-0.0400,9.2400,0.1700,0.0000,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0550,-0.1615,-0.1995,-0.2500
6.0602,GROUND,-0.1875,0.0392,9.6497,-0.3530,-0.0200,9.2500,0.1200,0.0100,-0.5400,-0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0958,-0.1559,-0.1941,-0.2500
6.0962,GROUND,1.3125,0.0000,9.7282,-0.3530,-0.0200,9.2300,0.1500,0.0100,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0627,0.5809,0.7511,-0.2500
6.1327,GROUND,-1.1250,0.0392,9.6890,-0.3138,-0.0300,9.2300,0.1700,0.0000,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0748,-0.3180,-0.4198,-0.2500
6.1662,GROUND,0.1875,0.0392,9.6497,-0.3138,-0.0400,9.2500,0.1400,0.0000,-0.5500,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.1033,-0.0138,-0.0422,-0.2500
6.2027,GROUND,-1.1875,0.0000,9.7282,-0.3138,-0.0200,9.2100,0.1700,0.0100,-0.5800,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0660,-0.5958,-0.7629,-0.2500
6.2387,GROUND,-0.1250,0.0000,9.6890,-0.3530,-0.0500,9.2400,0.1600,0.0000,-0.5800,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0757,-0.2657,-0.3695,-0.2500
6.2737,GROUND,-0.2500,0.0392,9.7282,-0.3530,-0.0300,9.2300,0.1500,0.0000,-0.5700,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0552,-0.2006,-0.2979,-0.2500
