#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0608,GROUND,1.8750,-0.1569,9.6890,-0.3530,-0.1600,9.2700,0.1100,0.0200,-0.5200,-0.0300,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0064,0.5277,1.8580,-89.0625,24.7648,25.0000,0.0000,0.0000
2,5.1017,GROUND,0.7500,-0.0392,9.6890,-0.4315,-0.1600,9.2300,0.1500,0.0200,-0.5600,0.0000,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0573,0.3656,1.1234,-89.0625,24.7648,25.0000,0.0000,0.0000
3,5.1431,GROUND,-0.0625,-0.0392,9.7674,-0.3138,-0.1600,9.2200,0.1400,0.0200,-0.5800,-0.0100,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0257,0.2429,0.3847,-89.0625,24.7648,25.0000,0.0000,0.0000
4,5.1837,GROUND,0.0000,-0.0785,9.6890,-0.3923,-0.1600,9.2300,0.1600,0.0200,-0.5600,0.0100,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0606,0.1993,0.1491,-89.0625,24.7648,25.0000,0.0000,0.0000
5,5.2229,GROUND,-0.1875,0.0000,9.7282,-0.3923,-0.1600,9.2200,0.1600,0.0200,-0.5700,0.0100,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0496,0.1550,-0.0569,-89.0625,24.7648,25.0000,0.0000,0.0000
6,5.2633,GROUND,0.1250,-0.0785,9.6890,-0.3530,-0.1700,9.2600,0.1200,0.0000,-0.5400,-0.0300,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0695,0.1775,0.0585,-89.0625,24.7648,25.0000,0.0000,0.0000
7,5.3033,GROUND,0.3125,0.0000,9.6890,-0.3138,-0.1500,9.2600,0.1300,0.0200,-0.5400,-0.0200,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0771,0.2151,0.2191,-89.0625,24.7648,25.0000,0.0000,0.0000
8,5.3438,GROUND,0.5000,-0.0392,9.7282,-0.3530,-0.1700,9.1900,0.1500,0.0000,-0.6000,0.0000,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0557,0.2633,0.3972,-89.0625,24.7648,25.0000,0.0000,0.0000
9,5.3840,GROUND,-0.3125,-0.0785,9.7282,-0.3138,-0.1500,9.2200,0.1600,0.0200,-0.5700,0.0000,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0478,0.1130,-0.0409,-89.0625,24.7648,25.0000,0.0000,0.0000
10,5.4236,GROUND,1.6250,-0.0392,9.6497,-0.3530,-0.1800,9.2600,0.1600,0.0000,-0.5400,0.0000,359.9375,-1.0625,-89.0625,-0.1800,9.8000,0.1500,-0.0928,0.4934,0.9995,-89.0625,24.7648,25.0000,0.0000,0.0000
