#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0736,GROUND,2.9375,-0.1177,9.6890,-0.1961,-0.2200,9.2200,0.2800,-0.0300,-0.5700,0.0000,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0048,0.5884,2.9202,-1.1250,24.7648,25.0000,0.0000,0.0000
2,5.1145,GROUND,-0.4375,0.0000,9.6890,-0.2354,-0.1100,9.2400,0.2400,0.0700,-0.5500,-0.0400,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0667,0.1212,0.6812,-1.1250,24.7648,25.0000,0.0000,0.0000
3,5.1548,GROUND,2.5000,-0.1177,9.7282,-0.2354,-0.1800,9.2300,0.3000,0.0000,-0.5600,0.0100,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0495,0.3029,1.8245,-1.1250,24.7648,25.0000,0.0000,0.0000
4,5.1941,GROUND,0.6875,-0.0392,9.6497,-0.1961,-0.1700,9.2000,0.3000,0.0100,-0.5900,0.0100,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0943,0.1798,1.1223,-1.1250,24.7648,25.0000,0.0000,0.0000
5,5.2336,GROUND,-0.3750,-0.0392,9.6890,-0.2354,-0.1600,9.2400,0.2600,0.0300,-0.5500,-0.0200,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0871,0.0054,0.1954,-1.1250,24.7648,25.0000,0.0000,0.0000
6,5.2702,GROUND,-0.6875,-0.0392,9.6890,-0.2746,-0.1900,9.2400,0.2500,0.0000,-0.5600,-0.0200,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0840,-0.1193,-0.3529,-1.1250,24.7648,25.0000,0.0000,0.0000
7,5.3094,GROUND,1.1250,-0.1177,9.6890,-0.2354,-0.1800,9.2300,0.2700,0.0300,-0.5300,-0.0200,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0824,0.1148,0.5640,-1.1250,24.7648,25.0000,0.0000,0.0000
8,5.3487,GROUND,0.2500,-0.0392,9.6890,-0.2354,-0.1900,9.2100,0.2500,0.0100,-0.5500,-0.0100,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0821,0.0537,0.3703,-1.1250,24.7648,25.0000,0.0000,0.0000
9,5.3877,GROUND,0.3750,-0.1177,9.7282,-0.2354,-0.1700,9.2300,0.2600,0.0100,-0.5600,-0.0200,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0577,0.0517,0.3740,-1.1250,24.7648,25.0000,0.0000,0.0000
10,5.4263,GROUND,-0.9375,-0.0392,9.7282,-0.2746,-0.2000,9.2000,0.2500,0.0000,-0.5900,-0.0300,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0486,-0.2474,-0.4427,-1.1250,24.7648,25.0000,0.0000,0.0000
11,5.4660,GROUND,1.0000,-0.0785,9.7282,-0.1961,-0.1600,9.2400,0.2200,0.0200,-0.5500,-0.0600,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0447,0.1089,0.4536,-1.1250,24.7648,25.0000,0.0000,0.0000
12,5.5054,GROUND,-0.5625,-0.0785,9.6890,-0.2354,-0.1600,9.2500,0.2400,0.0200,-0.5400,-0.0400,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0678,-0.1661,-0.1792,-1.1250,24.7648,25.0000,0.0000,0.0000
13,5.5449,GROUND,1.1250,-0.0392,9.6890,-0.2354,-0.2000,9.2500,0.2800,0.0000,-0.5400,0.0000,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0763,0.2072,0.6332,-1.1250,24.7648,25.0000,0.0000,0.0000
14,5.5847,GROUND,0.7500,-0.0392,9.7282,-0.3138,-0.1700,9.2300,0.2800,0.0100,-0.5600,0.0000,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0555,0.2367,0.7090,-1.1250,24.7648,25.0000,0.0000,0.0000
15,5.6214,GROUND,-0.3750,-0.0392,9.6890,-0.2746,-0.2000,9.2400,0.2800,0.0000,-0.5400,-0.0300,0.1875,-1.1250,-88.2500,-0.1900,9.8000,0.2900,-0.0720,-0.1120,0.0346,-1.1250,24.7648,25.0000,0.0000,0.0000
