Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.8884,GROUND,-0.8125,-0.0785,9.7282,-0.3530,-0.1900,9.2200,0.2100,0.0300,-0.5600,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0437,-0.6450,-0.9229,-1.0625,3.8407
5.9195,GROUND,0.0000,-0.0392,9.6890,-0.3530,-0.2000,9.2200,0.1900,-0.0100,-0.5800,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0672,-0.2556,-0.3530,-1.0625,0.1336
5.9540,GROUND,-0.1875,-0.0392,9.6890,-0.3530,-0.1900,9.2200,0.1700,0.0000,-0.5600,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0762,-0.1823,-0.2526,-1.0625,-0.0347
5.9891,GROUND,-0.5625,-0.0392,9.7282,-0.3530,-0.1800,9.2100,0.2200,0.0000,-0.5800,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0555,-0.3162,-0.4491,-1.0625,0.4513
6.0223,GROUND,-0.5625,-0.0392,9.6890,-0.2746,-0.1800,9.2100,0.2200,-0.0100,-0.5500,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0718,-0.3652,-0.5245,-1.0625,0.4042
6.0579,GROUND,-0.6875,-0.0392,9.7282,-0.3138,-0.1900,9.2300,0.1900,-0.0100,-0.5500,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0538,-0.4362,-0.6314,-1.0625,1.1372
6.0916,GROUND,-1.0625,-0.0785,9.6497,-0.3138,-0.1700,9.2100,0.2100,0.0000,-0.5900,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0954,-0.6333,-0.9076,-1.0625,1.1933
6.1258,GROUND,-0.5625,-0.0392,9.6890,-0.3530,-0.1800,9.2300,0.1300,-0.0100,-0.5700,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0870,-0.4568,-0.6992,-1.0625,0.5002
6.1617,GROUND,-1.6250,-0.0785,9.7282,-0.3138,-0.1900,9.2100,0.2100,0.0000,-0.5800,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0597,-0.9176,-1.2876,-1.0625,5.7627
6.1978,GROUND,-0.5625,0.0000,9.7282,-0.4315,-0.2200,9.2300,0.2200,-0.0300,-0.5600,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0491,-0.5494,-0.8435,-1.0625,2.2323
6.2311,GROUND,-1.1250,-0.1177,9.7282,-0.3138,-0.1700,9.2400,0.1400,0.0100,-0.5500,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0451,-0.6858,-1.0281,-1.0625,4.1835
6.2677,GROUND,-0.4375,-0.0785,9.6890,-0.3138,-0.1900,9.2600,0.1900,-0.0400,-0.6000,0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0677,-0.3685,-0.6655,-1.0625,0.3370
6.3030,GROUND,0.0625,-0.0392,9.6890,-0.3530,-0.1600,9.2300,0.1500,0.0200,-0.5600,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0764,0.0206,-0.2121,-1.0625,-0.2094
6.3388,GROUND,-1.1875,-0.1177,9.6890,-0.3138,-0.2400,9.2300,0.2000,-0.0500,-0.5700,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0799,-0.4889,-0.8254,-1.0625,0.6706
6.3730,GROUND,1.0625,-0.0392,9.6890,-0.3530,-0.1500,9.2500,0.1600,0.0300,-0.5500,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0808,0.5333,0.3568,-1.0625,2.1156
6.4091,GROUND,-0.8125,-0.0785,9.7282,-0.2746,-0.1900,9.2000,0.2100,0.0000,-0.5900,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0574,-0.1105,-0.3725,-1.0625,-0.2662
6.4445,GROUND,0.8750,-0.0392,9.6890,-0.3923,-0.2100,9.2500,0.1900,-0.0200,-0.5400,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0723,0.5608,0.4114,-1.0625,2.5847
6.4794,GROUND,-1.3125,-0.0785,9.7282,-0.3530,-0.1400,9.2300,0.1700,-0.0200,-0.5400,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0542,-0.3605,-0.6659,-1.0625,0.5324
6.5126,GROUND,-0.1875,0.0000,9.7282,-0.3138,-0.1400,9.2200,0.1800,0.0400,-0.5800,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0470,-0.0889,-0.3694,-1.0625,-0.2853
6.5492,GROUND,0.9375,-0.1569,9.6890,-0.3530,-0.1300,9.2100,0.1900,0.0400,-0.5800,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0684,0.6154,0.4519,-1.0625,3.2217
6.5826,GROUND,-0.7500,-0.0392,9.7282,-0.3138,-0.1300,9.2100,0.1900,-0.0400,-0.5900,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0526,-0.0583,-0.2969,-1.0625,-0.2646
6.6175,GROUND,-0.6875,-0.0392,9.7282,-0.3923,-0.1700,9.2300,0.1200,0.0000,-0.5500,-0.1100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0465,-0.2781,-0.5438,-1.0625,0.2879
6.6532,GROUND,-0.5000,-0.0392,9.7282,-0.3923,-0.2000,9.2200,0.1900,-0.0100,-0.5800,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0441,-0.2495,-0.5198,-1.0625,0.1857
6.6881,GROUND,0.0625,-0.0392,9.7282,-0.3530,-0.1700,9.2400,0.2200,-0.0100,-0.5800,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0431,0.0770,-0.1563,-1.0625,-0.0875
6.7219,GROUND,0.1875,-0.1177,9.7674,-0.3530,-0.1900,9.2100,0.1500,-0.0100,-0.5800,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0185,0.2699,0.0613,-1.0625,2.0268
6.7573,GROUND,-0.8125,-0.0392,9.6497,-0.4315,-0.1400,9.2100,0.2000,0.0400,-0.5800,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0820,-0.2385,-0.4859,-1.0625,-0.1393
6.7926,GROUND,-0.3750,-0.0392,9.6890,-0.3530,-0.1900,9.2400,0.1400,0.0000,-0.5600,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0819,-0.1745,-0.4191,-1.0625,-0.2331
6.8264,GROUND,-1.0625,-0.0785,9.7282,-0.3138,-0.1900,9.2300,0.1700,0.0000,-0.5700,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0577,-0.5506,-0.8273,-1.0625,1.7982
6.8630,GROUND,-2.0625,-0.0392,9.7282,-0.3530,-0.1700,9.2200,0.2100,0.0000,-0.5700,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0486,-1.2780,-1.6144,-1.0625,15.1951
