Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
8.7273,GROUND,1.1250,-0.0785,9.6890,-0.3923,-0.1800,9.2400,0.1100,0.0100,-0.5700,0.1300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0717,0.5705,0.2712,-1.0625,2.5397
8.7605,GROUND,0.7500,-0.1569,9.6890,-0.3530,-0.2300,9.2400,0.1800,-0.0500,-0.5500,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0779,0.8488,0.5810,-1.0625,5.2036
8.7965,GROUND,0.4375,0.0000,9.7282,-0.3138,-0.1700,9.2200,0.1200,0.0000,-0.5600,-0.0600,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0561,0.7415,0.5014,-1.0625,5.3976
8.8313,GROUND,0.9375,-0.0392,9.6890,-0.3530,-0.1500,9.2500,0.1300,0.0200,-0.5500,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0720,0.9916,0.7865,-1.0625,7.6161
8.8673,GROUND,-0.7500,-0.0392,9.6890,-0.2746,-0.1800,9.2400,0.2500,0.0100,-0.5900,0.0600,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0783,0.0155,-0.1707,-1.0625,-0.1692
8.9033,GROUND,-0.6250,-0.0785,9.7282,-0.3138,-0.2000,9.2200,0.2200,-0.0200,-0.5700,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0563,-0.2567,-0.4569,-1.0625,0.1279
8.9367,GROUND,-1.0625,-0.0392,9.6890,-0.2746,-0.1800,9.2100,0.1700,0.0200,-0.5700,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0722,-0.6241,-0.8426,-1.0625,1.8548
8.9725,GROUND,-0.8125,-0.0392,9.6890,-0.3923,-0.1400,9.2700,0.1500,0.0300,-0.5300,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0782,-0.5935,-0.8321,-1.0625,1.4213
9.0093,GROUND,-0.1875,-0.0785,9.7282,-0.3530,-0.2300,9.2400,0.2800,-0.0300,-0.5900,0.1300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0561,-0.1846,-0.4328,-1.0625,-0.1291
9.0450,GROUND,-1.3125,-0.0392,9.7282,-0.3923,-0.1600,9.2000,0.1900,0.0200,-0.5900,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0479,-0.7315,-0.9911,-1.0625,4.5932
9.0812,GROUND,-0.2500,-0.0392,9.7282,-0.3530,-0.1600,9.2400,0.1200,0.0200,-0.5600,-0.0600,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0446,-0.2790,-0.5329,-1.0625,0.3409
9.1146,GROUND,-1.0000,0.0000,9.6890,-0.3923,-0.1400,9.2200,0.1300,0.0400,-0.5800,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0677,-0.5622,-0.8316,-1.0625,1.5038
9.1510,GROUND,-0.9375,-0.0785,9.7282,-0.2354,-0.1800,9.2700,0.2500,0.0000,-0.5200,0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0522,-0.6160,-0.9054,-1.0625,2.7281
9.1848,GROUND,0.1250,-0.0392,9.6890,-0.4707,-0.1500,9.2700,0.1700,0.0200,-0.5300,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0704,0.0295,-0.2631,-1.0625,-0.2569
9.2210,GROUND,0.7500,-0.1177,9.7674,-0.5099,-0.1700,9.1700,0.1200,0.0000,-0.6200,-0.0600,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0289,0.6476,0.3768,-1.0625,7.6445
9.2564,GROUND,-0.9375,-0.0392,9.6890,-0.3138,-0.2300,9.2000,0.1700,-0.0400,-0.5900,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0618,-0.1596,-0.4441,-1.0625,-0.2379
9.2910,GROUND,0.5625,-0.0785,9.6890,-0.2354,-0.1700,9.2400,0.0900,0.0000,-0.5500,-0.1000,0.0000,-9.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0741,0.4586,0.1893,-9.0625,1.6094
9.3271,GROUND,0.1250,-0.0392,9.6890,-0.3923,-0.1800,9.1900,0.2500,0.0000,-0.6000,0.0500,0.0000,-9.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0789,0.4087,0.1544,-9.0625,1.2132
9.3607,GROUND,0.3750,-0.0392,9.7282,-0.4315,-0.1200,9.2300,0.1600,0.0500,-0.5600,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0565,0.5316,0.2990,-1.0625,2.8017
9.3964,GROUND,-0.4375,0.0000,9.6497,-0.4315,-0.2200,9.1900,0.1200,-0.0300,-0.6000,-0.0600,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0965,0.0606,-0.1591,-1.0625,-0.1400
9.4325,GROUND,-2.0000,-0.0392,9.6890,-0.1569,-0.1700,9.2600,0.1400,0.0000,-0.5400,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0877,-1.0799,-1.3208,-1.0625,5.3257
9.4684,GROUND,-3.2500,-0.0392,9.6890,-0.3530,-0.1600,9.2100,0.2500,0.0000,-0.5900,-0.0800,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0844,-2.2654,-2.5545,-1.0625,27.8566
9.5053,GROUND,-1.0625,-0.0785,9.7282,-0.3923,-0.1600,9.2100,0.2500,0.0600,-0.5800,0.0700,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0584,-1.3293,-1.6418,-1.0625,13.4940
9.5391,GROUND,-1.2500,-0.1177,9.7674,-0.3530,-0.1600,9.2300,0.1300,0.0500,-0.5700,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0243,-1.0590,-1.4123,-1.0625,21.6254
9.5757,GROUND,-1.0625,-0.0785,9.6890,-0.3530,-0.2800,9.2700,0.1100,-0.1000,-0.5300,-0.0700,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0598,-0.8154,-1.2057,-1.0625,4.3502
9.6128,GROUND,-2.0000,-0.0785,9.6497,-0.1569,-0.1600,9.2500,0.1600,-0.1000,-0.5300,-0.0700,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0978,-1.2757,-1.7168,-1.0625,6.6041
9.6463,GROUND,0.1250,-0.0392,9.6890,-0.1961,-0.1300,9.2300,0.2800,0.0400,-0.5700,0.0900,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0877,-0.1208,-0.5710,-1.0625,-0.4879
9.6826,GROUND,-0.4375,-0.1569,9.7674,-0.4707,-0.1700,9.2300,0.1700,0.0100,-0.5600,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0356,-0.0382,-0.4883,-1.0625,-0.4679
9.7184,GROUND,1.3750,-0.1569,9.6890,-0.2354,-0.2100,9.2900,0.1400,-0.0200,-0.5000,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0639,1.1028,0.6876,-1.0625,10.2018
9.7543,GROUND,-0.5000,-0.0392,9.7282,-0.3138,-0.2500,9.1800,0.0800,-0.0700,-0.6100,-0.1100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0509,0.3805,-0.0474,-1.0625,1.3743
9.7877,GROUND,-0.1875,-0.0785,9.7282,-0.3138,-0.1100,9.2400,0.2100,0.0600,-0.5600,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0458,0.2845,-0.1307,-1.0625,0.7527
9.8241,GROUND,-0.9375,-0.0785,9.7282,-0.2354,-0.1600,9.2000,0.3300,0.0200,-0.5900,0.1400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0440,-0.2156,-0.6363,-1.0625,-0.1077
9.8596,GROUND,-0.6250,-0.0785,9.6890,-0.4707,-0.2000,9.2300,0.0700,-0.0200,-0.5600,-0.1200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0674,-0.2063,-0.6319,-1.0625,-0.3161
9.8942,GROUND,-0.9375,-0.0392,9.7282,-0.3138,-0.2500,9.2200,0.1600,-0.0700,-0.5700,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0521,-0.3893,-0.8275,-1.0625,0.6262
9.9298,GROUND,-2.0000,0.0000,9.7282,-0.2354,-0.1700,9.2200,0.1700,-0.0700,-0.5700,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0464,-1.0843,-1.5720,-1.0625,11.0916
